attribute,precision,recall,F1
人口,0.8242424242424242,0.9645390070921985,0.8888888888888887
人口データの年,0.7297297297297297,0.9759036144578314,0.8350515463917526
人口密度,0.8977272727272727,0.9518072289156626,0.9239766081871345
別名,0.71900826446281,0.6397058823529411,0.6770428015564203
友好市区町村,0.6435331230283912,0.6181818181818182,0.6306027820710973
合併市区町村,0.34674329501915707,0.3153310104529617,0.3302919708029197
国,0.6513761467889908,0.7135678391959799,0.6810551558752997
国内位置,0.375,1.0,0.5454545454545454
地名の謂れ,0.0784313725490196,0.11428571428571428,0.09302325581395349
地形,0.716,0.7464553794829024,0.7309105757452022
座標・経度,0.8551532033426184,0.8575418994413407,0.8563458856345885
座標・緯度,0.9161849710982659,0.8498659517426274,0.8817802503477051
恒例行事,0.7071428571428572,0.7754569190600522,0.7397260273972602
成立年,0.2929936305732484,0.5,0.3694779116465864
所在地,0.5607734806629834,0.6655737704918033,0.608695652173913
旧称,0.136986301369863,0.12658227848101267,0.13157894736842105
温泉・鉱泉,0.6956521739130435,0.8205128205128205,0.7529411764705882
特産品,0.6603448275862069,0.8131634819532909,0.7288296860133207
産業,0.450261780104712,0.5149700598802395,0.4804469273743016
種類,0.7769784172661871,0.7105263157894737,0.7422680412371134
観光地,0.4602888086642599,0.5669816564758199,0.5080946450809464
読み,0.8645833333333334,0.7614678899082569,0.8097560975609757
鉄道会社,0.5256124721603563,0.8458781362007168,0.6483516483516483
面積,0.6818181818181818,0.8910891089108911,0.7725321888412017
首長,0.494949494949495,0.6049382716049383,0.5444444444444444
macro_ave,0.6024606225013363,0.6937730421948518,0.6364627064292092
micro_ave,0.5954093505394542,0.6687655934418439,0.6299591516982822
