attribute,precision,recall,F1
両親,0.7008547008547008,0.7387387387387387,0.7192982456140351
作品,0.741058175724204,0.8228945129732029,0.7798352354319402
別名,0.6490066225165563,0.5536723163841808,0.5975609756097562
参加イベント,0.3320388349514563,0.41007194244604317,0.36695278969957074
受賞歴,0.5285451197053407,0.6080508474576272,0.5655172413793105
国籍,0.8235294117647058,0.9333333333333333,0.8749999999999999
地位職業,0.6831578947368421,0.671147880041365,0.6770996348461138
学歴,0.7813953488372093,0.865979381443299,0.8215158924205379
家族,0.5463137996219282,0.49401709401709404,0.518850987432675
居住地,0.6177215189873417,0.6648501362397821,0.6404199475065617
師匠,0.609375,0.5571428571428572,0.582089552238806
所属組織,0.6171816126601356,0.6774193548387096,0.6458990536277601
時代,0.85,0.8947368421052632,0.8717948717948718
本名,0.7572815533980582,0.5571428571428572,0.6419753086419754
死因,0.15555555555555556,0.4375,0.2295081967213115
没地,0.5217391304347826,0.75,0.6153846153846153
没年月日,0.6266666666666667,0.8703703703703703,0.7286821705426356
生年月日,0.835,0.9027027027027027,0.8675324675324674
生誕地,0.626984126984127,0.7523809523809524,0.683982683982684
異表記,0.6842105263157895,0.6190476190476191,0.6500000000000001
読み,0.8888888888888888,0.8495575221238938,0.8687782805429864
macro_ave,0.6465002137430614,0.6967027267109471,0.6641751500452673
micro_ave,0.7130833395957015,0.7818241740133476,0.7458732903631503
