attribute,precision,recall,F1
人口,0.7486338797814208,0.9716312056737588,0.845679012345679
人口データの年,0.7592592592592593,0.9879518072289156,0.8586387434554973
人口密度,0.8681318681318682,0.9518072289156626,0.9080459770114944
別名,0.6896551724137931,0.6617647058823529,0.675422138836773
友好市区町村,0.6317204301075269,0.7121212121212122,0.6695156695156695
合併市区町村,0.33513513513513515,0.3240418118466899,0.32949512843224094
国,0.6183035714285714,0.6959798994974874,0.6548463356973996
国内位置,0.42857142857142855,1.0,0.6
地名の謂れ,0.022727272727272728,0.02857142857142857,0.02531645569620253
地形,0.7198443579766537,0.7714762301918265,0.7447665056360708
座標・経度,0.8673740053050398,0.9134078212290503,0.889795918367347
座標・緯度,0.8951612903225806,0.8927613941018767,0.8939597315436242
恒例行事,0.6971046770601337,0.8172323759791122,0.7524038461538461
成立年,0.27167630057803466,0.5108695652173914,0.35471698113207545
所在地,0.5090689238210399,0.6901639344262295,0.5859429366736255
旧称,0.125,0.0759493670886076,0.09448818897637795
温泉・鉱泉,0.7083333333333334,0.8717948717948718,0.7816091954022988
特産品,0.6775956284153005,0.7898089171974523,0.7294117647058822
産業,0.4804804804804805,0.47904191616766467,0.47976011994003
種類,0.8059701492537313,0.7105263157894737,0.7552447552447553
観光地,0.4793233082706767,0.5669816564758199,0.5194805194805195
読み,0.8380952380952381,0.8073394495412844,0.822429906542056
鉄道会社,0.5043859649122807,0.8243727598566308,0.6258503401360543
面積,0.7076923076923077,0.9108910891089109,0.7965367965367967
首長,0.49586776859504134,0.7407407407407407,0.594059405940594
macro_ave,0.5954044700667259,0.7082891081857781,0.6394966549361163
micro_ave,0.595731454620804,0.6831412617322086,0.6364491670817422
