attribute,precision,recall,F1
両親,0.7009345794392523,0.6756756756756757,0.6880733944954128
作品,0.7088434754904192,0.8280518928115695,0.7638245175212732
別名,0.6807817589576547,0.5903954802259888,0.6323751891074131
参加イベント,0.29833333333333334,0.4292565947242206,0.352015732546706
受賞歴,0.5309278350515464,0.6546610169491526,0.5863377609108159
国籍,0.6829268292682927,0.9333333333333333,0.7887323943661972
地位職業,0.6627218934911243,0.6949327817993796,0.6784452296819788
学歴,0.7456140350877193,0.8762886597938144,0.8056872037914692
家族,0.5159235668789809,0.5538461538461539,0.5342126957955483
居住地,0.5597345132743363,0.6893732970027248,0.617826617826618
師匠,0.5866666666666667,0.6285714285714286,0.6068965517241379
所属組織,0.5970802919708029,0.6765922249793217,0.6343544009305933
時代,0.85,0.8947368421052632,0.8717948717948718
本名,0.7592592592592593,0.5857142857142857,0.6612903225806452
死因,0.22727272727272727,0.625,0.3333333333333333
没地,0.6,0.75,0.6666666666666665
没年月日,0.5421686746987951,0.8333333333333334,0.656934306569343
生年月日,0.8383838383838383,0.8972972972972973,0.866840731070496
生誕地,0.6260162601626016,0.7333333333333333,0.675438596491228
異表記,0.5957446808510638,0.6666666666666666,0.6292134831460674
読み,0.8620689655172413,0.8849557522123894,0.8733624454148472
macro_ave,0.6272096754788409,0.7191436214464444,0.6630312593221744
micro_ave,0.6821639297646975,0.7906401911510258,0.7324072660662494
